INDEX:1000:<ulong>,origin_z:1000:<float>,intersect_x:1000:<float>,intersect_y:1000:<float>,idx_x:1000:<float>,idx_y:1000:<float>,value:1000:<float>,time:1000:<float>,gt_intersect_x:1000:<float>,gt_intersect_y:1000:<float>
204,-29.6000003815,65,-30,13,0,-3.90227794647,13,70.1047515869,-40.0783500671
205,-29.5,65,-30,13,0,-3.90227794647,13,69.9789962769,-39.9842414856
206,-29.3999996185,65,-30,13,0,-3.90227794647,13,69.8535232544,-39.8897209167
207,-29.2999992371,65,-30,13,0,-3.90227794647,13,69.7283630371,-39.7948188782
208,-29.1999988556,65,-30,13,0,-3.90227794647,13,69.603477478,-39.6995162964
209,-29.1000003815,65,-30,13,0,-3.90227794647,13,69.4789199829,-39.6038322449
210,-29,65,-30,13,0,-3.90227794647,13,69.3546600342,-39.5077590942
211,-28.8999996185,65,-30,13,0,-3.90227794647,13,69.230682373,-39.411277771
212,-28.7999992371,65,-30,13,0,-3.90227794647,13,69.1070251465,-39.3144264221
213,-28.6999988556,65,-30,13,0,-3.90227794647,13,68.9836730957,-39.2171821594
214,-28.6000003815,65,-30,13,0,-3.90227794647,13,68.8606109619,-39.1195411682
215,-28.5,65,-30,13,0,-3.90227794647,13,68.7378768921,-39.0215263367
216,-28.3999996185,65,-30,13,0,-3.90227794647,13,68.6154251099,-38.9231109619
217,-28.2999992371,65,-30,13,0,-3.90227794647,13,68.493309021,-38.8243293762
218,-28.1999988556,65,-30,13,0,-3.90227794647,13,68.3715057373,-38.7251625061
219,-28.1000003815,65,-30,13,0,-3.90227794647,13,68.2499923706,-38.6255989075
220,-28,65,-30,13,0,-3.90227794647,13,68.1288070679,-38.5256690979
221,-27.8999996185,65,-30,13,0,-3.90227794647,13,68.0079193115,-38.4253425598
222,-27.7999992371,65,-30,13,0,-3.90227794647,13,67.8873748779,-38.3246536255
223,-27.6999988556,65,-30,13,0,-3.90227794647,13,67.7671356201,-38.2235870361
224,-27.6000003815,65,-30,13,0,-3.90227794647,13,67.6472015381,-38.122127533
225,-27.5,65,-30,13,0,-3.90227794647,13,67.5276031494,-38.0203056335
226,-27.3999996185,65,-30,13,0,-3.90227794647,13,67.4083099365,-37.918094635
227,-27.2999992371,65,-30,13,0,-3.90227794647,13,67.289352417,-37.8155212402
228,-27.1999988556,65,-30,13,0,-3.90227794647,13,67.170715332,-37.7125701904
229,-27.1000003815,65,-30,13,0,-3.90227794647,13,67.0523986816,-37.6092453003
230,-27,65,-30,13,0,-3.90227794647,13,66.9344100952,-37.5055618286
231,-26.8999996185,65,-30,13,0,-3.90227794647,13,66.8167419434,-37.4014854431
232,-26.7999992371,65,-30,13,0,-3.90227794647,13,66.6994094849,-37.2970619202
233,-26.6999988556,65,-30,13,0,-3.90227794647,13,66.5823974609,-37.1922569275
234,-26.6000003815,65,-30,13,0,-3.90227794647,13,66.4657211304,-37.0870895386
235,-26.5,65,-30,13,0,-3.90227794647,13,66.3493804932,-36.9815635681
236,-26.3999996185,65,-30,13,0,-3.90227794647,13,66.2333602905,-36.8756599426
237,-26.2999992371,65,-30,13,0,-3.90227794647,13,66.1176834106,-36.7693977356
238,-26.1999988556,65,-30,13,0,-3.90227794647,13,66.0023345947,-36.6627693176
239,-26.1000003815,65,-30,13,0,-3.90227794647,13,65.8873214722,-36.5557785034
240,-26,65,-30,13,0,-3.90227794647,13,65.7726516724,-36.4484367371
241,-25.8999996185,65,-30,13,0,-3.90227794647,13,65.6583099365,-36.3407287598
242,-25.7999992371,65,-30,13,0,-3.90227794647,13,65.5443115234,-36.2326583862
243,-25.6999988556,65,-30,13,0,-3.90227794647,13,65.4306564331,-36.1242332458
244,-25.6000003815,65,-30,13,0,-3.90227794647,13,65.3173294067,-36.0154495239
245,-25.5,65,-30,13,0,-3.90227794647,13,65.2043685913,-35.9063224792
246,-25.3999996185,65,-30,13,0,-3.90227794647,13,65.0917358398,-35.7968254089
247,-25.2999992371,65,-30,13,0,-3.90227794647,13,64.9794464111,-35.6869812012
248,-25.1999988556,65,-30,13,0,-3.90227794647,13,64.8675003052,-35.5767860413
249,-25.1000003815,65,-30,13,0,-3.90227794647,13,64.7559051514,-35.4662361145
250,-25,60,-25,12,0,-2.83009529114,12,64.6446685791,-35.355342865
251,-24.8999996185,60,-25,12,0,-2.83009529114,12,64.5337677002,-35.2440986633
252,-24.7999992371,60,-25,12,0,-2.83009529114,12,64.4232177734,-35.1324996948
253,-24.6999988556,60,-25,12,0,-2.83009529114,12,64.3130187988,-35.0205574036
254,-24.6000003815,60,-25,12,0,-2.83009529114,12,64.2031784058,-34.9082717896
255,-24.5,60,-25,12,0,-2.83009529114,12,64.0936889648,-34.7956466675
256,-24.3999996185,60,-25,12,0,-2.83009529114,12,63.9845504761,-34.6826705933
257,-24.2999992371,60,-25,12,0,-2.83009529114,12,63.8757705688,-34.5693511963
258,-24.1999988556,60,-25,12,0,-2.83009529114,12,63.7673454285,-34.4556884766
259,-24.1000003815,60,-25,12,0,-2.83009529114,12,63.6592750549,-34.3416900635
260,-24,60,-25,12,0,-2.83009529114,12,63.551574707,-34.2273635864
261,-23.8999996185,60,-25,12,0,-2.83009529114,12,63.4442253113,-34.1126861572
262,-23.7999992371,60,-25,12,0,-2.83009529114,12,63.3372344971,-33.99766922
263,-23.6999988556,60,-25,12,0,-2.83009529114,12,63.2306060791,-33.8823242188
264,-23.6000003815,60,-25,12,0,-2.83009529114,12,63.1243438721,-33.7666397095
265,-23.5,60,-25,12,0,-2.83009529114,12,63.0184516907,-33.6506309509
266,-23.3999996185,60,-25,12,0,-2.83009529114,12,62.9129142761,-33.5342826843
267,-23.2999992371,60,-25,12,0,-2.83009529114,12,62.8077430725,-33.4176025391
268,-23.1999988556,60,-25,12,0,-2.83009529114,12,62.7029418945,-33.3005943298
269,-23.1000003815,60,-25,12,0,-2.83009529114,12,62.5985069275,-33.1832542419
270,-23,60,-25,12,0,-2.83009529114,12,62.4944496155,-33.0655975342
271,-22.8999996185,60,-25,12,0,-2.83009529114,12,62.3907546997,-32.9476051331
272,-22.7999992371,60,-25,12,0,-2.83009529114,12,62.2874336243,-32.8292922974
273,-22.6999988556,60,-25,12,0,-2.83009529114,12,62.1844787598,-32.710647583
274,-22.6000003815,60,-25,12,0,-2.83009529114,12,62.0819015503,-32.5916862488
275,-22.5,60,-25,12,0,-2.83009529114,12,61.9797058105,-32.4724082947
276,-22.3999996185,60,-25,12,0,-2.83009529114,12,61.8778762817,-32.3528022766
277,-22.2999992371,60,-25,12,0,-2.83009529114,12,61.776424408,-32.232875824
278,-22.1999988556,60,-25,12,0,-2.83009529114,12,61.6753501892,-32.1126327515
279,-22.1000003815,60,-25,12,0,-2.83009529114,12,61.5746536255,-31.9920711517
280,-22,60,-25,12,0,-2.83009529114,12,61.4743423462,-31.8712062836
281,-21.8999996185,60,-25,12,0,-2.83009529114,12,61.3744049072,-31.7500152588
282,-21.7999992371,60,-25,12,0,-2.83009529114,12,61.274848938,-31.6285095215
283,-21.6999988556,60,-25,12,0,-2.83009529114,12,61.1756744385,-31.5066928864
284,-21.6000003815,60,-25,12,0,-2.83009529114,12,61.0768814087,-31.3845672607
285,-21.5,60,-25,12,0,-2.83009529114,12,60.9784851074,-31.2621383667
286,-21.3999996185,60,-25,12,0,-2.83009529114,12,60.8804626465,-31.1393909454
287,-21.2999992371,60,-25,12,0,-2.83009529114,12,60.78282547,-31.0163383484
288,-21.1999988556,60,-25,12,0,-2.83009529114,12,60.6855773926,-30.8929805756
289,-21.1000003815,60,-25,12,0,-2.83009529114,12,60.5887184143,-30.7693157196
290,-21,60,-25,12,0,-2.83009529114,12,60.4922523499,-30.6453590393
291,-20.8999996185,60,-25,12,0,-2.83009529114,12,60.3961715698,-30.5210857391
292,-20.7999992371,60,-25,12,0,-2.83009529114,12,60.3004798889,-30.3965148926
293,-20.6999988556,60,-25,12,0,-2.83009529114,12,60.2051811218,-30.2716426849
294,-20.6000003815,60,-25,12,0,-2.83009529114,12,60.1102752686,-30.1464729309
295,-20.5,60,-25,12,0,-2.83009529114,12,60.0157699585,-30.0210151672
296,-20.3999996185,60,-25,12,0,-2.83009529114,12,59.9216537476,-29.8952522278
297,-20.2999992371,60,-25,12,0,-2.83009529114,12,59.8279304504,-29.7691917419
298,-20.1999988556,60,-25,12,0,-2.83009529114,12,59.7346115112,-29.6428508759
299,-20.1000003815,60,-25,12,0,-2.83009529114,12,59.6416778564,-29.5161933899
300,-20,55,-20,11,0,-0.755710601807,11,59.5491523743,-29.3892688751
301,-19.8999996185,55,-20,11,0,-0.755710601807,11,59.4570236206,-29.2620391846
302,-19.7999992371,55,-20,11,0,-0.755710601807,11,59.3652915955,-29.1345233917
303,-19.6999988556,55,-20,11,0,-0.755710601807,11,59.2739715576,-29.0067310333
304,-19.6000003815,55,-20,11,0,-0.755710601807,11,59.1830406189,-28.8786411285
305,-19.5,55,-20,11,0,-0.755710601807,11,59.0925140381,-28.7502670288
306,-19.3999996185,55,-20,11,0,-0.755710601807,11,59.0023956299,-28.6216087341
307,-19.2999992371,55,-20,11,0,-0.755710601807,11,58.9126777649,-28.4926681519
308,-19.1999988556,55,-20,11,0,-0.755710601807,11,58.8233757019,-28.3634548187
309,-19.1000003815,55,-20,11,0,-0.755710601807,11,58.7344703674,-28.233953476
